,id,cg_rank,cg_score,market_rank,daily_vol,tvl,mcap_t_tvl,price_change,number_of_exchanges
101,switcheo,1089,21.135,918,92838,0,0,-1.08378,6
102,frax-share,855,23.401,162,76999306,529291398,1.06,257.29106,11
103,meter,2049,15.427,720,256763,0,0,17.87376,4
104,gala,557,27.36,154,103644816,0,0,-6.22318,22
105,iota,220,36.873,55,83806619,0,0,10.52194,26
106,sentivate,394,30.374,952,837701,0,0,49.98982,4
107,interest-bearing-bitcoin,517,27.844,816,77046,0,0,35.07007,1
108,gemini-dollar,533,27.628,366,9678338,0,0,0.62906,18
109,coinmetro,962,22.224,404,99682,0,0,54.84729,1
110,poolz-finance,908,22.795,793,1194421,0,0,26.96298,6
111,alpha-quark-token,789,24.056,512,13025957,0,0,23.91882,5
112,energy-web-token,484,28.405,192,4434009,0,0,18.74666,11
113,render-token,540,27.578,361,3488821,0,0,9.8755,16
114,cargox,1065,21.341,754,89850,0,0,-35.90758,2
115,compound-usd-coin,506,28.065,53,21674661,0,0,1.23803,2
116,swipe,551,27.41,194,105055782,4189456,100.01,5.01863,50
117,hshare,313,33.056,742,2808895,0,0,6.95727,8
118,bitcoin-cash-abc-2,1946,15.896,64,57809,0,0,-42.63119,2
119,cdai,277,34.066,50,10778558,0,0,1.0775,3
120,btc-2x-flexible-leverage-index,1738,16.903,953,355344,0,0,97.26496,2
121,chromaway,669,25.677,315,31874436,0,0,30.29824,30
122,adshares,358,31.554,778,1330657,0,0,62.05839,4
123,divi,645,25.966,527,285063,0,0,3.24783,8
124,siacoin,75,48.957,125,37317002,0,0,22.70748,25
125,vertcoin,168,40.035,805,259063,0,0,5.9531,8
126,crust-network,722,24.921,577,4044579,0,0,-7.42798,15
127,bitcoin-diamond,185,38.988,204,4726590,0,0,33.32441,17
128,dehub,1468,18.606,781,593299,0,0,-1.13119,2
129,get-token,759,24.468,609,79512,0,0,24.56632,7
130,thorchain-erc20,604,26.617,320,14003667,0,0,69.2361,3
131,conflux-token,375,30.868,229,25506671,0,0,-11.13756,14
132,vectorspace,626,26.232,247,2929263,0,0,-40.54309,5
133,unmarshal,1326,19.441,904,5216069,0,0,84.25453,6
134,tokenlon,1271,19.872,631,3071576,10638193,4.98,1.78473,8
135,usdp,474,28.611,629,4855588,0,0,3.72294,2
136,makiswap,1448,18.712,899,2541968,20665050,1.11,9.51899,5
137,morpheus-network,388,30.493,410,1555422,0,0,94.26171,7
138,launchzone,2125,14.982,951,53213,0,0,-28.81657,2
139,step-finance,880,23.141,407,9041836,0,0,0.25057,7
140,injective-protocol,366,31.347,179,21391414,1024052,470.94,11.44405,34
141,saito,216,36.982,849,1584031,0,0,98.53076,6
142,sbtc,879,23.151,247,5359732,0,0,38.99913,2
