,id,cg_rank,cg_score,market_rank,daily_vol,tvl,mcap_t_tvl,price_change,number_of_exchanges
98,republic-protocol,160,40.475,108,103678327,1665822238,0.65,5.19504,61
99,district0x,112,45.324,401,12416660,0,0.0,14.39256,9
100,kryll,607,26.549,585,25992444,0,0.0,672.21586,4
101,yearn-finance,92,47.062,99,371177541,5895120672,0.21,21.07344,58
102,usd-coin,69,49.753,11,4598936775,0,0.0,0.56645,45
103,enjincoin,67,49.995,74,625713443,0,0.0,77.62702,54
104,zencash,66,50.061,122,45939749,0,0.0,16.29098,38
105,basic-attention-token,28,55.836,113,101521703,0,0.0,10.45858,58
106,matic-network,54,51.166,16,2969318325,10626176474,1.26,80.70874,56
107,ethereum-classic,142,42.358,32,2173428247,0,0.0,13.95357,49
